provider,product_group,model_name,model_id,status,pricing_mode,context_band,modality_scope,input_price_usd,cached_input_price_usd,output_price_usd,other_price_usd,other_price_unit,unit,thinking_support,notes,source_url
openai,chat,GPT-5.5,gpt-5.5,active,token,1M+,text+image_input,5.00,0.50,30.00,,,1M tokens,yes,"latest frontier model; reasoning effort none/low/medium/high/xhigh","https://developers.openai.com/api/docs/models/gpt-5.5"
openai,chat,GPT-5.5 pro,gpt-5.5-pro,active,token,1M+,text+image_input,30.00,,180.00,,,1M tokens,yes,"pro model; Responses API oriented; no cached input price shown on model page/pricing table","https://developers.openai.com/api/docs/models/gpt-5.5-pro"
openai,chat,GPT-5.4,gpt-5.4,active,token,1M+,text+image_input,2.50,0.25,15.00,,,1M tokens,yes,"frontier model; reasoning effort none/low/medium/high/xhigh","https://developers.openai.com/api/docs/models/gpt-5.4"
openai,chat,GPT-5.4 pro,gpt-5.4-pro,active,token,1M+,text+image_input,30.00,,180.00,,,1M tokens,yes,"pro model; Responses API only; no cached input price shown","https://developers.openai.com/api/docs/models/gpt-5.4-pro"
openai,chat,GPT-5.4 mini,gpt-5.4-mini,active,token,400k,text+image_input,0.75,0.075,4.50,,,1M tokens,yes,"strong mini model for coding/computer-use/subagents","https://developers.openai.com/api/docs/models/gpt-5.4-mini"
openai,chat,GPT-5.4 nano,gpt-5.4-nano,active,token,400k,text+image_input,0.20,0.02,1.25,,,1M tokens,yes,"cheapest GPT-5.4-class model","https://developers.openai.com/api/docs/models/gpt-5.4-nano"
openai,chat,GPT-5.2,gpt-5.2,active,token,400k,text+image_input,1.75,0.175,14.00,,,1M tokens,yes,"previous frontier model; reasoning effort none/low/medium/high/xhigh","https://developers.openai.com/api/docs/models/gpt-5.2"
openai,chat,GPT-5.2 pro,gpt-5.2-pro,active,token,400k,text+image_input,21.00,,168.00,,,1M tokens,yes,"previous pro model; Responses API only; no cached input price shown","https://developers.openai.com/api/docs/models/gpt-5.2-pro"
openai,chat,GPT-5.1,gpt-5.1,active,token,400k,text+image_input,1.25,0.125,10.00,,,1M tokens,yes,"coding/agentic model; reasoning effort none/low/medium/high","https://developers.openai.com/api/docs/models/gpt-5.1"
openai,chat,GPT-5,gpt-5,active,token,400k,text+image_input,1.25,0.125,10.00,,,1M tokens,yes,"previous reasoning model; pricing aligned with official model page","https://developers.openai.com/api/docs/models/gpt-5"
openai,chat,GPT-5 pro,gpt-5-pro,active,token,400k,text+image_input,15.00,,120.00,,,1M tokens,yes,"Responses API only; high reasoning only; no cached input price shown","https://developers.openai.com/api/docs/models/gpt-5-pro"
openai,chat,GPT-5 mini,gpt-5-mini,active,token,400k,text+image_input,0.25,0.025,2.00,,,1M tokens,yes,"cost-sensitive low-latency GPT-5 model","https://developers.openai.com/api/docs/models/gpt-5-mini"
openai,chat,GPT-5 nano,gpt-5-nano,active,token,400k,text+image_input,0.05,0.005,0.40,,,1M tokens,yes,"fastest cheapest GPT-5 model","https://developers.openai.com/api/docs/models/gpt-5-nano"
openai,chat,GPT-4.1,gpt-4.1,active,token,1M,text+image_input,2.00,0.50,8.00,,,1M tokens,no,"smartest non-reasoning GPT-4.1 model","https://developers.openai.com/api/docs/models/gpt-4.1"
openai,chat,GPT-4.1 mini,gpt-4.1-mini,active,token,1M,text+image_input,0.40,0.10,1.60,,,1M tokens,no,"smaller faster GPT-4.1; tool-calling/instruction-following","https://developers.openai.com/api/docs/models/gpt-4.1-mini"
openai,chat,GPT-4.1 nano,gpt-4.1-nano,deprecated,token,1M,text+image_input,0.10,0.025,0.40,,,1M tokens,no,"deprecated in model catalog; include only for existing/legacy comparison","https://developers.openai.com/api/docs/models/gpt-4.1-nano"
openai,chat,GPT-4o,gpt-4o,deprecated,token,128k,text+image_input,2.50,1.25,10.00,,,1M tokens,no,"4o chat model; model catalog marks GPT-4o deprecated; page still shows pricing","https://developers.openai.com/api/docs/models/gpt-4o"
openai,chat,GPT-4o mini,gpt-4o-mini,active,token,128k,text+image_input,0.15,0.075,0.60,,,1M tokens,no,"fast affordable 4o-class focused-task model","https://developers.openai.com/api/docs/models/gpt-4o-mini"
openai,chat_audio,gpt-audio-1.5,gpt-audio-1.5,active,token,128k,text+audio,2.50,,10.00,32.00,audio input per 1M tokens; audio output $64.00 per 1M tokens,1M tokens,no,"audio in/out model for Chat Completions; text and audio pricing differ","https://developers.openai.com/api/docs/models/gpt-audio-1.5"
openai,realtime,gpt-realtime-1.5,gpt-realtime-1.5,active,token,32k,text+image_input+audio,4.00,0.40,16.00,32.00,audio input per 1M tokens; audio cached $0.40; audio output $64.00; image input $5.00 cached $0.50,1M tokens,no,"flagship realtime voice model","https://developers.openai.com/api/docs/models/gpt-realtime-1.5"
openai,realtime,gpt-realtime-mini,gpt-realtime-mini,deprecated,token,32k,text+image_input+audio,0.60,0.06,2.40,10.00,audio input per 1M tokens; audio cached $0.30; audio output $20.00; image input $0.80 cached $0.08,1M tokens,no,"deprecated cost-efficient realtime model; pricing from official pricing page","https://developers.openai.com/api/docs/pricing"
openai,chatgpt,GPT-5.3 Chat,gpt-5.3-chat-latest,active,token,unknown,text,1.75,0.175,14.00,,,1M tokens,unknown,"ChatGPT model; official catalog says ChatGPT models are not recommended for API use; context/modality not clearly shown on pricing page","https://developers.openai.com/api/docs/pricing"
