provider,family,model_name,model_id,status,pricing_mode,input_scope,prompt_size_band,input_price_usd,cached_input_price_usd,output_price_usd,context_cache_storage_or_other_usd,unit,thinking_support,notes,source_url
Google,Gemini 2.0,Gemini 2.0 Flash,gemini-2.0-flash,deprecated,batch,text/image/video,all,0.05,0.025,0.2,Audio input $0.35; audio cache $0.175; storage $1.00 per 1M tokens/hour,USD per 1M tokens,unknown,"Deprecated; shutdown June 1, 2026.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.0,Gemini 2.0 Flash,gemini-2.0-flash,deprecated,standard,text/image/video,all,0.1,0.025,0.4,Audio input $0.70; audio cache $0.175; storage $1.00 per 1M tokens/hour,USD per 1M tokens,unknown,"Deprecated; shutdown June 1, 2026.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.0,Gemini 2.0 Flash-Lite,gemini-2.0-flash-lite,deprecated,batch,text,all,0.0375,,0.15,,USD per 1M tokens,unknown,"Deprecated; shutdown June 1, 2026.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.0,Gemini 2.0 Flash-Lite,gemini-2.0-flash-lite,deprecated,standard,text,all,0.075,,0.3,,USD per 1M tokens,unknown,"Deprecated; shutdown June 1, 2026.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash,gemini-2.5-flash,current,batch,text/image/video,all,0.15,0.03,1.25,Audio input $0.50; audio cache $0.10; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash,gemini-2.5-flash,current,flex,text/image/video,all,0.15,0.03,1.25,Audio input $0.50; audio cache $0.10; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash,gemini-2.5-flash,current,priority,text/image/video,all,0.54,0.054,4.5,Audio input $1.80; audio cache $0.18; storage $1.80 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash,gemini-2.5-flash,current,standard,text/image/video,all,0.3,0.03,2.5,Audio input $1.00; audio cache $0.10; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,current,batch,text/image/video,all,0.05,0.01,0.2,Audio input $0.15; audio cache $0.03; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,current,flex,text/image/video,all,0.05,0.01,0.2,Audio input $0.15; audio cache $0.03; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,current,priority,text/image/video,all,0.18,0.018,0.72,Audio input $0.54; audio cache $0.054; storage $1.80 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,current,standard,text/image/video,all,0.1,0.01,0.4,Audio input $0.30; audio cache $0.03; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash-Lite Preview,gemini-2.5-flash-lite-preview-09-2025,preview,batch,text/image/video,all,0.05,0.01,0.2,Audio input $0.15; audio cache $0.03; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Preview variant.,https://ai.google.dev/gemini-api/docs/pricing
